goal,n_iters,iter_range,seed_score,best_score,best_iter,delta_seed_to_best,final_score,n_crossovers,n_mutations,total_cost_usd,total_wall_time_min,max_agent_budget,max_geno_lines
clintox,10,0-19,0.6891,0.7216,1,0.03249999999999997,0.5171,5,3,5.9032584584,258.54159999999996,7,304
shap_diffusion,15,0-20,0.848,0.848,0,0.0,0.4883,6,8,6.1589631136000005,251.8152,7,337
bulk_modulus,10,0-19,0.8208,0.8622,4,0.04139999999999999,0.7977,5,4,3.3698768456000003,173.13230000000004,7,540
elk_homerange,11,1-20,0.8157,0.8157,1,0.0,0.8058,6,4,8.135983675199999,302.01674999999994,7,427
dkpes,13,0-12,0.8604,0.8833,11,0.02289999999999992,0.8049,4,8,3.164312808,163.23981666666666,7,273
